dates,eps_estimate,eps_actual,eps_pct_diff,ticker,country,category
2009-07-30,0.13,0.22,66.04,ABG,USA,retail
2009-10-29,0.32,0.31,-1.59,ABG,USA,retail
2010-02-25,0.16,0.18,9.76,ABG,USA,retail
2010-04-29,0.15,0.27,84.93,ABG,USA,retail
2010-07-27,0.3,0.42,38.84,ABG,USA,retail
2010-10-26,0.41,0.42,1.82,ABG,USA,retail
2011-02-22,0.35,0.37,7.25,ABG,USA,retail
2011-04-27,0.35,0.35,0.0,ABG,USA,retail
2011-07-26,0.43,0.51,18.06,ABG,USA,retail
2011-10-26,0.44,0.44,0.38,ABG,USA,retail
2012-02-14,0.43,0.54,24.86,ABG,USA,retail
2012-04-26,0.49,0.57,15.74,ABG,USA,retail
2012-07-24,0.64,0.69,7.6,ABG,USA,retail
2012-10-23,0.64,0.72,12.15,ABG,USA,retail
2013-02-19,0.65,0.72,10.15,ABG,USA,retail
2013-04-24,0.67,0.77,15.24,ABG,USA,retail
2013-07-23,0.81,0.98,21.12,ABG,USA,retail
2013-10-22,0.87,0.91,4.71,ABG,USA,retail
2014-02-04,0.82,0.88,6.84,ABG,USA,retail
2014-04-23,0.86,1.03,19.51,ABG,USA,retail
2014-07-22,1.09,1.19,9.08,ABG,USA,retail
2014-10-21,1.07,1.08,0.85,ABG,USA,retail
2015-02-04,1.01,1.07,5.94,ABG,USA,retail
2015-04-21,1.18,1.3,9.76,ABG,USA,retail
2015-07-21,1.43,1.52,6.29,ABG,USA,retail
2015-10-21,1.42,1.43,1.06,ABG,USA,retail
2016-02-04,1.36,1.31,-3.42,ABG,USA,retail
2016-04-26,1.33,1.36,2.54,ABG,USA,retail
2016-07-26,1.65,1.65,0.0,ABG,USA,retail
2016-10-25,1.61,1.52,-5.3,ABG,USA,retail
2017-02-07,1.42,1.56,9.51,ABG,USA,retail
2017-04-27,1.48,1.58,6.69,ABG,USA,retail
2017-07-25,1.68,1.58,-6.21,ABG,USA,retail
2017-10-24,1.51,1.63,7.88,ABG,USA,retail
2018-02-06,1.59,1.81,13.62,ABG,USA,retail
2018-04-24,1.8,1.93,7.07,ABG,USA,retail
2018-07-24,1.92,2.08,8.19,ABG,USA,retail
2018-10-23,1.88,2.21,17.6,ABG,USA,retail
2019-02-06,2.05,2.2,7.06,ABG,USA,retail
2019-04-23,1.93,2.2,14.29,ABG,USA,retail
2019-07-26,2.26,2.38,5.25,ABG,USA,retail
2019-10-22,2.32,2.33,0.39,ABG,USA,retail
2020-02-03,2.34,2.53,7.97,ABG,USA,retail
2020-05-05,1.67,1.8,7.64,ABG,USA,retail
2020-07-28,2.49,2.52,1.18,ABG,USA,retail
2020-10-27,3.91,4.08,4.35,ABG,USA,retail
2021-02-02,4.13,4.44,7.45,ABG,USA,retail
2021-04-27,3.63,4.68,29.1,ABG,USA,retail
2021-07-27,5.09,7.78,52.96,ABG,USA,retail
2021-10-26,6.25,7.36,17.79,ABG,USA,retail
2022-02-15,6.05,7.46,23.25,ABG,USA,retail
2022-04-28,8.94,9.27,3.65,ABG,USA,retail
2022-07-28,8.82,10.04,13.81,ABG,USA,retail
2022-10-27,9.22,9.23,0.1,ABG,USA,retail
2023-02-02,8.21,9.12,11.05,ABG,USA,retail
2023-04-25,7.99,8.37,4.7,ABG,USA,retail
2023-07-25,8.24,8.95,8.61,ABG,USA,retail
2023-10-25,8.45,,,ABG,USA,retail
2024-01-31,,,,ABG,USA,retail
2024-04-23,,,,ABG,USA,retail
2024-07-23,,,,ABG,USA,retail
2020-11-16,,,,ABNB,USA,tech
2021-02-25,-9.16,-10.84,-18.36,ABNB,USA,tech
2021-05-13,-1.17,-1.12,4.61,ABNB,USA,tech
2021-08-12,-0.47,-0.11,76.82,ABNB,USA,tech
2021-11-04,0.75,1.22,62.02,ABNB,USA,tech
2022-02-15,0.03,0.08,139.81,ABNB,USA,tech
2022-05-03,-0.29,-0.03,89.72,ABNB,USA,tech
2022-08-02,0.43,0.56,31.2,ABNB,USA,tech
2022-11-01,1.47,1.79,21.83,ABNB,USA,tech
2023-02-14,0.25,0.48,91.04,ABNB,USA,tech
2023-05-09,0.09,0.18,108.09,ABNB,USA,tech
2023-08-03,0.78,0.98,26.3,ABNB,USA,tech
2023-10-30,2.06,,,ABNB,USA,tech
2024-02-12,,,,ABNB,USA,tech
2024-05-07,,,,ABNB,USA,tech
2024-08-01,,,,ABNB,USA,tech
2004-08-11,-0.66,-0.42,36.36,ACAD,USA,pharmaceuticals
2004-11-10,-0.37,-0.37,0.89,ACAD,USA,pharmaceuticals
2005-03-03,-0.41,-0.44,-6.45,ACAD,USA,pharmaceuticals
2005-05-11,-0.4,-0.31,22.5,ACAD,USA,pharmaceuticals
2005-08-10,-0.29,-0.26,11.36,ACAD,USA,pharmaceuticals
2005-11-10,-0.3,-0.53,-76.67,ACAD,USA,pharmaceuticals
2006-03-01,-0.38,-0.44,-15.79,ACAD,USA,pharmaceuticals
2006-05-10,-0.35,-0.39,-10.17,ACAD,USA,pharmaceuticals
2006-08-08,-0.36,-0.43,-18.89,ACAD,USA,pharmaceuticals
2006-11-06,-0.4,-0.38,5.59,ACAD,USA,pharmaceuticals
2007-03-06,-0.44,-0.42,4.11,ACAD,USA,pharmaceuticals
2007-05-08,-0.43,-0.42,3.32,ACAD,USA,pharmaceuticals
2007-08-06,-0.39,-0.29,25.12,ACAD,USA,pharmaceuticals
2007-11-05,-0.38,-0.43,-12.93,ACAD,USA,pharmaceuticals
2008-03-05,-0.46,-0.46,-0.5,ACAD,USA,pharmaceuticals
2008-05-05,-0.46,-0.44,4.52,ACAD,USA,pharmaceuticals
2008-08-05,-0.46,-0.49,-5.56,ACAD,USA,pharmaceuticals
2008-11-05,-0.45,-0.42,5.83,ACAD,USA,pharmaceuticals
2009-03-09,-0.37,-0.38,-1.48,ACAD,USA,pharmaceuticals
2009-05-11,-0.36,-0.4,-11.73,ACAD,USA,pharmaceuticals
2009-08-05,-0.34,-0.34,0.97,ACAD,USA,pharmaceuticals
2009-11-09,-0.24,-0.23,5.48,ACAD,USA,pharmaceuticals
2010-03-09,-0.19,-0.2,-5.26,ACAD,USA,pharmaceuticals
2010-05-10,-0.17,-0.14,20.0,ACAD,USA,pharmaceuticals
2010-08-09,-0.16,-0.11,32.65,ACAD,USA,pharmaceuticals
2010-11-09,-0.17,-0.11,34.0,ACAD,USA,pharmaceuticals
2011-03-10,0.69,0.74,6.73,ACAD,USA,pharmaceuticals
